Time,  Packets Generated,  Packets Reached,High Priority Packets Generated, High Priority Packets reached, Packet Dropped, Packet Dropped due to Faulty Node, High Prio Packet Dropped due to Faulty Node, Low Prio Packet Dropped due to Faulty Node 
5,1,1,1,1,0,0,0,0
10,6,3,5,2,3,3,3,0
15,8,3,6,2,4,4,4,0
20,16,7,10,3,8,8,6,2
25,19,9,11,4,10,10,7,3
30,24,12,13,5,12,12,8,4
35,28,12,15,5,15,15,9,6
40,31,13,16,6,18,18,10,8
45,32,14,17,7,18,18,10,8
50,37,16,19,8,21,21,11,10
55,39,16,21,8,22,22,12,10
60,47,20,23,10,26,26,13,13
65,50,22,26,11,27,27,14,13
70,55,26,29,14,29,29,15,14
75,59,26,30,14,32,32,16,16
80,62,27,31,14,35,35,17,18
85,63,28,31,14,35,35,17,18
90,68,30,32,15,38,38,17,21
95,70,30,34,15,39,39,18,21
100,78,34,36,17,41,41,18,23
105,81,38,37,18,42,42,18,24
110,86,42,39,20,44,44,19,25
115,90,42,41,20,47,47,21,26
120,93,43,43,20,50,50,23,27
125,94,44,44,21,50,50,23,27
130,99,46,45,21,51,51,23,28
135,101,47,46,21,52,52,23,29
140,109,52,50,25,54,54,24,30
145,112,56,53,27,55,55,25,30
150,117,60,56,30,57,57,26,31
155,121,60,58,30,59,59,26,33
160,124,63,60,33,61,61,27,34
165,125,64,60,33,61,61,27,34
170,130,66,63,35,62,62,27,35
175,132,67,64,36,63,63,27,36
180,140,72,68,39,65,65,28,37
185,143,76,70,40,66,66,29,37
190,148,80,72,43,68,68,29,39
195,152,80,74,43,70,70,30,40
200,155,83,76,45,71,71,30,41
205,156,85,77,47,71,71,30,41
210,161,87,80,49,72,72,30,42
215,163,88,80,49,73,73,30,43
220,171,93,85,52,75,75,31,44
225,174,97,87,54,76,76,32,44
230,179,101,91,57,78,78,34,44
235,183,101,93,57,80,80,34,46
240,186,104,94,60,81,81,34,47
245,187,106,94,60,81,81,34,47
250,192,108,96,60,82,82,35,47
255,194,109,96,60,83,83,35,48
260,202,114,101,62,85,85,37,48
265,205,118,103,65,86,86,37,49
