Node,PackGenStrtTime,PackGenRateTime 
1,6,40
2,3,40
3,7,40
4,6,40
5,7,40
6,10,40
7,12,40
8,16,40
9,17,40
10,18,40
11,14,40
12,20,40
13,19,40
14,19,40
15,21,40
16,19,40
17,19,40
18,23,40
19,26,40
20,23,40
21,27,40
22,26,40
23,28,40
24,29,40
25,35,40
26,37,40
27,32,40
28,34,40
29,38,40
30,33,40
31,36,40
32,39,40
33,36,40
34,40,40
35,39,40
36,40,40
37,38,40
38,41,40
39,47,40
40,45,40
41,45,40
42,47,40
43,44,40
44,51,40
45,51,40
46,52,40
47,54,40
48,56,40
49,52,40
