TIME,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 
 200,0,107,103,84,30,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 205,0,106,103,89,35,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 210,0,111,103,94,40,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 215,0,116,103,99,45,0,0,0,97,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 220,0,121,103,104,50,0,0,0,102,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 225,0,126,103,107,55,0,0,0,107,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 230,0,131,103,107,60,0,0,0,107,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 235,0,136,103,107,65,0,0,0,107,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 240,0,141,103,107,70,0,0,0,107,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 245,0,146,103,107,75,0,0,0,107,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 250,0,151,105,107,80,0,0,0,107,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 255,0,156,110,107,85,0,0,0,107,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
 260,0,161,115,107,90,0,0,0,107,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
 265,0,166,120,107,95,0,0,0,107,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
 270,0,171,125,107,100,0,0,0,107,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
 275,0,176,130,107,105,0,0,0,107,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
 280,0,181,135,106,105,0,0,0,108,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
 285,0,186,140,111,105,0,0,0,113,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
 290,0,191,145,116,105,0,0,0,118,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0
 295,0,196,150,121,105,0,0,0,123,0,0,0,0,0,5,85,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0
 300,0,201,155,126,105,0,0,0,128,0,0,0,0,0,10,90,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0
 305,0,206,160,131,105,0,0,0,133,0,0,0,0,0,15,95,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0
 310,0,211,165,136,105,0,0,0,138,0,0,0,0,0,20,100,1,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0
 315,0,214,170,141,105,0,0,0,143,0,0,0,0,0,25,103,6,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0
 320,0,214,175,146,105,0,0,0,148,0,0,0,0,0,30,103,11,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0
 325,0,214,180,151,105,0,0,0,153,0,0,0,0,0,35,103,16,0,0,0,0,0,0,0,69,0,0,0,0,0,0,1
 330,0,214,185,156,105,0,0,0,158,0,0,0,0,0,40,103,21,0,0,0,0,0,0,0,74,0,0,0,0,0,0,6
 335,0,214,190,161,105,0,0,0,163,0,0,0,0,0,45,103,26,0,0,0,0,0,0,0,79,0,0,0,0,0,0,11
 340,0,214,195,166,105,0,0,0,168,0,0,0,0,0,50,103,31,0,0,0,0,0,0,0,84,0,0,0,0,0,0,16
 345,0,214,200,171,105,0,0,0,173,0,0,0,0,0,55,103,36,0,0,0,0,0,0,0,89,0,0,0,0,0,0,21
 350,0,214,205,176,105,0,0,0,178,0,0,0,0,0,60,103,41,0,0,0,0,0,0,0,94,0,0,0,0,0,0,26
 355,0,213,208,181,105,0,0,0,183,0,0,0,0,0,65,103,46,0,0,0,0,0,0,0,99,0,0,0,0,0,0,31
 360,0,218,208,186,105,0,0,0,188,0,0,0,0,0,70,103,51,0,0,0,0,0,0,0,105,0,0,0,0,0,0,36
 365,0,223,208,191,105,0,0,0,193,0,0,0,0,0,75,103,56,0,0,0,0,0,0,0,105,0,0,0,0,0,0,41
 370,0,228,208,196,105,0,0,0,198,0,0,0,0,0,80,103,61,0,0,0,0,0,0,0,105,0,0,0,0,0,0,46
 375,0,233,208,201,105,0,0,0,203,0,0,0,0,0,85,103,66,0,0,0,0,0,0,0,105,0,0,0,0,0,0,51
 380,0,238,208,206,105,0,0,0,208,0,0,0,0,0,90,103,71,0,0,0,0,0,0,0,105,0,0,0,0,0,0,56
 385,0,243,208,212,105,0,0,0,208,0,0,0,0,0,95,103,76,0,0,0,0,0,0,0,105,0,0,0,0,0,0,61
 390,0,248,208,212,105,0,0,0,208,0,0,0,0,0,100,103,81,0,0,0,0,0,0,0,105,0,0,0,0,0,0,66
 395,0,253,208,212,105,0,0,0,208,0,0,0,0,0,105,103,86,0,0,0,0,0,0,0,105,0,0,0,0,0,0,71
 400,0,258,210,212,105,0,0,0,208,0,0,0,0,0,105,103,91,0,0,0,0,0,0,0,105,0,0,0,0,0,0,76
 405,0,263,215,212,511,0,0,0,208,0,0,0,0,0,105,103,96,0,0,0,0,0,0,0,105,0,0,0,0,0,0,81
 410,0,268,220,212,511,0,0,0,208,0,0,0,0,0,105,103,101,0,0,0,0,0,0,0,105,0,0,0,0,0,0,86
 415,0,273,225,212,511,0,0,0,208,0,0,0,0,0,105,103,105,0,0,0,0,0,0,0,105,0,0,0,0,0,0,91
 420,0,278,230,212,511,0,0,0,208,0,0,0,0,0,105,103,105,0,0,0,0,0,0,0,105,0,0,0,0,0,0,96
 425,0,283,235,212,511,0,0,0,208,0,0,0,0,0,105,103,105,0,0,0,0,0,0,0,105,0,0,0,0,0,0,101
 430,0,288,240,212,511,0,0,0,208,0,0,0,0,0,105,103,105,0,0,0,0,0,0,0,105,0,0,0,0,0,0,107
 435,0,293,245,212,511,0,0,0,208,0,0,0,1,0,105,106,105,0,0,0,0,0,0,0,105,0,0,0,0,0,0,107
